Gene,CellType
Ogn,MFC
Ccnd2,MFC
Unc5b,MFC
Plod2,MFC
Cyr61,MFC
Ecm2,MFC
mt-Nd4l,MFC
Nkd2,MFC
Cd9,MFC
Nedd9,MFC
Mmp2,MFC
Mfap5,MFC
Mbnl1,MFC
Rbp1,MFC
Gucy1b3,MFC
Svep1,MFC
Fam198b,MFC
Pkd1,MFC
Chpf,MFC
Pls3,MFC
Dst,MFC
Phlda3,MFC
Creb3l2,MFC
Wwtr1,MFC
Foxp1,MFC
Enpp1,MFC
Vamp5,MFC
Ckb,MFC
Pdgfrb,MFC
Ltbp4,MFC
Fstl1,MFC
Pdlim3,MFC
Lamb2,MFC
Tspan6,MFC
Raph1,MFC
Cyb5r3,MFC
Dact3,MFC
Nfat5,MFC
Adarb1,MFC
Tmem45a,MFC
Ctnnb1,MFC
Cryab,MFC
Lhfp,MFC
Plpp3,MFC
Kank2,MFC
C1qtnf2,MFC
Malat1,MFC
Golim4,MFC
Luzp1,MFC
Cpne8,MFC
Slc44a2,MFC
Tcea3,MFC
Skil,MFC
Loxl1,MFC
Srpx2,MFC
App,MFC
Sertad4,MFC
Arhgap5,MFC
Ttll5,MFC
Olfml2b,MFC
Ccser2,MFC
Ctsk,MFC
Col5a1,MFC
Ass1,MFC
Fndc3b,MFC
Arid5b,MFC
Gpc6,MFC
Lrrc58,MFC
Thbs2,MFC
Mical2,MFC
2310022B05Rik,MFC
Nbl1,MFC
Npdc1,MFC
Nfix,MFC
Nedd4,MFC
4931406P16Rik,MFC
Wif1,EndD
Cytl1,EndD
Dkk3,EndD
Prg4,EndD
Apoe,EndD
Dbi,EndD
Clu,EndD
1500015O10Rik,EndD
Pdlim3,EndD
Lmcd1,EndD
Cpe,EndD
Igfbp5,EndD
Fmod,EndD
Cox4i2,EndD
Vim,EndD
Mgp,EndD
Cadm1,EndD
Ccdc80,EndD
Smim3,EndD
Msx1,EndD
Rspo3,EndD
Paqr6,EndD
Prelp,EndD
Tgfbi,EndD
Timp3,EndD
Atp1b1,EndD
Bambi,EndD
Scara3,EndD
Myoc,EndD
Trf,EndD
Il11ra1,EndD
Shisa4,EndD
Tbx20,EndD
Cdc42ep3,EndD
Dpt,EndD
Abi3bp,EndD
Aldh1a1,EndD
Tst,EndD
Socs2,EndD
Id1,EndD
Itih5,EndD
2010111I01Rik,EndD
Fth1,EndD
Fxyd6,EndD
Map1b,EndD
Pdgfa,EndD
Cd9,EndD
Tmem176b,EndD
Lmo4,EndD
Tspan7,EndD
Comp,EndD
Gstm5,EndD
Bmyc,EndD
Hmgcs2,EndD
Npr1,EndD
Fgl2,EndD
Igf1,EndD
Mdk,EndD
Mafb,EndD
Mfap2,EndD
St3gal4,EndD
Tcf12,EndD
Frzb,EndD
Id3,EndD
Etv1,EndD
4930523C07Rik,EndD
Meox1,EndD
Kazald1,EndD
Fam3c,EndD
Tmem176a,EndD
Ccnd2,EndD
Nudt4,EndD
Ptn,EndD
Hist1h2bc,EndD
Sepp1,EndD
Vgll4,EndD
Dcn,EndD
Itm2b,EndD
Vit,EndD
Limch1,EndD
Lgmn,EndD
Ndrg2,EndD
Sdc3,EndD
Por,EndD
Ppp3ca,EndD
Csrp1,EndD
Bok,EndD
Csrp2,EndD
Fbln1,EndD
Mgst1,EndD
Crip2,EndD
Sdpr,EndD
Ifi27,EndD
Papss2,EndD
Lum,EndD
Gem,EndD
Thbs1,EndD
Gata6,EndD
Vcam1,EndD
Gas6,EndD
Ninj1,EndD
Serpinf1,EndD
Plat,EndD
Atp1b3,EndD
Meis2,EndD
Rnpep,EndD
Rin2,EndD
Tm4sf1,EndD
Pttg1,EndD
Ldhb,EndD
Prnp,EndD
Nfix,EndD
Xpnpep1,EndD
Glul,EndD
Olfml2b,EndD
Rasl11b,EndD
Tmem100,EndD
Fblim1,EndD
Maged2,EndD
Eif4a2,EndD
Rhoc,EndD
Arl4a,EndD
Ramp2,EndD
Gng11,EndD
Cfh,EndD
Fhl1,EndD
Nfib,EndD
Olfml1,EndD
Gnb4,EndD
Pdgfrl,EndD
Colec12,EndD
Hist1h1c,EndD
Pfdn5,EndD
Mfap4,EndD
Il33,EndD
Sat1,EndD
Ier3,EndD
Olfml3,EndD
Epdr1,EndD
Emp2,EndD
Gstt1,EndD
Slc29a1,EndD
Calm2,EndD
Ngfrap1,EndD
Twsg1,EndD
Sdc4,EndD
Slc16a2,EndD
Ccni,EndD
Eef1d,EndD
Id2,EndD
Gsn,EndD
Mef2c,EndD
Arhgdib,EndD
Lrrk1,EndD
Syt11,EndD
Sec11c,EndD
Pebp1,EndD
Ddx5,EndD
Wwtr1,EndD
Foxp2,EndD
Cnn3,EndD
Sox9,EndD
Stmn1,Prolif Myofb
H2afz,Prolif Myofb
Cks2,Prolif Myofb
Cenpa,Prolif Myofb
Hmgb2,Prolif Myofb
2810417H13Rik,Prolif Myofb
Acta2,Prolif Myofb
Birc5,Prolif Myofb
Cdc20,Prolif Myofb
2700094K13Rik,Prolif Myofb
Ube2c,Prolif Myofb
Ube2s,Prolif Myofb
Hmgn2,Prolif Myofb
Tubb5,Prolif Myofb
Cdca8,Prolif Myofb
Ran,Prolif Myofb
Ccnb2,Prolif Myofb
Tuba1b,Prolif Myofb
Cdca3,Prolif Myofb
Top2a,Prolif Myofb
Prc1,Prolif Myofb
Cdk1,Prolif Myofb
Tubb6,Prolif Myofb
Cks1b,Prolif Myofb
Spc24,Prolif Myofb
Tpm2,Prolif Myofb
Cenpf,Prolif Myofb
H2afx,Prolif Myofb
Tk1,Prolif Myofb
Tubb4b,Prolif Myofb
Tpx2,Prolif Myofb
Lockd,Prolif Myofb
Pbk,Prolif Myofb
Ccnb1,Prolif Myofb
Ccna2,Prolif Myofb
Tagln,Prolif Myofb
Smc2,Prolif Myofb
Tagln2,Prolif Myofb
Timp1,Prolif Myofb
Tyms,Prolif Myofb
Smc4,Prolif Myofb
Rrm2,Prolif Myofb
Racgap1,Prolif Myofb
Lgals1,Prolif Myofb
Actb,Prolif Myofb
Spc25,Prolif Myofb
Hist1h2ap,Prolif Myofb
Cenpm,Prolif Myofb
Knstrn,Prolif Myofb
Hmmr,Prolif Myofb
Hnrnpa1,Prolif Myofb
Fam64a,Prolif Myofb
Hmgb1,Prolif Myofb
Spp1,Prolif Myofb
Mki67,Prolif Myofb
Ckap4,Prolif Myofb
Ranbp1,Prolif Myofb
Cthrc1,Prolif Myofb
Ccdc34,Prolif Myofb
Tpm4,Prolif Myofb
Rbm3,Prolif Myofb
Tacc3,Prolif Myofb
Mad2l1,Prolif Myofb
H2afv,Prolif Myofb
Cenpe,Prolif Myofb
Anp32b,Prolif Myofb
Actg1,Prolif Myofb
Nucks1,Prolif Myofb
Rrm1,Prolif Myofb
Hmgb3,Prolif Myofb
Erh,Prolif Myofb
Tmpo,Prolif Myofb
Dut,Prolif Myofb
Ppia,Prolif Myofb
Gpx7,Prolif Myofb
Cdkn3,Prolif Myofb
Snrpd1,Prolif Myofb
Csrp2,Prolif Myofb
Kdelr2,Prolif Myofb
Calm2,Prolif Myofb
Lmnb1,Prolif Myofb
Asf1b,Prolif Myofb
Cbx3,Prolif Myofb
Nuf2,Prolif Myofb
Slc25a5,Prolif Myofb
Prdx4,Prolif Myofb
Tnc,Prolif Myofb
Dek,Prolif Myofb
Ckap2,Prolif Myofb
Ckap2l,Prolif Myofb
Kif20a,Prolif Myofb
Mxd3,Prolif Myofb
Hdgf,Prolif Myofb
Cfl1,Prolif Myofb
Lmna,Prolif Myofb
Lsm2,Prolif Myofb
Ywhah,Prolif Myofb
Pfn1,Prolif Myofb
Lrrc59,Prolif Myofb
Pmf1,Prolif Myofb
Plk1,Prolif Myofb
Kif22,Prolif Myofb
Dnajc9,Prolif Myofb
Hnrnpab,Prolif Myofb
Postn,Prolif Myofb
Dynll1,Prolif Myofb
Cnn2,Prolif Myofb
Eif4a1,Prolif Myofb
Arl6ip1,Prolif Myofb
Myl9,Prolif Myofb
Nusap1,Prolif Myofb
Cox5a,Prolif Myofb
Gapdh,Prolif Myofb
Ccl9,Prolif Myofb
Cenpw,Prolif Myofb
Nme1,Prolif Myofb
Ddah1,Prolif Myofb
Ddx39,Prolif Myofb
Rangap1,Prolif Myofb
Srsf3,Prolif Myofb
Cdkn2d,Prolif Myofb
Cdk4,Prolif Myofb
Actn1,Prolif Myofb
Vdac1,Prolif Myofb
Anp32e,Prolif Myofb
Nudt21,Prolif Myofb
Dtymk,Prolif Myofb
Anln,Prolif Myofb
Aurkb,Prolif Myofb
Lig1,Prolif Myofb
Sae1,Prolif Myofb
Tuba1c,Prolif Myofb
Fscn1,Prolif Myofb
Nap1l1,Prolif Myofb
Actr3,Prolif Myofb
Hnrnpa2b1,Prolif Myofb
Srsf2,Prolif Myofb
Kif23,Prolif Myofb
Snrpe,Prolif Myofb
Hsp90aa1,Prolif Myofb
S100a11,Prolif Myofb
Eif5a,Prolif Myofb
Set,Prolif Myofb
Cenpq,Prolif Myofb
Serpinh1,Prolif Myofb
Mif,Prolif Myofb
Myl6,Prolif Myofb
Fn1,Prolif Myofb
Lsm6,Prolif Myofb
Eny2,Prolif Myofb
Myl12a,Prolif Myofb
Txn1,Prolif Myofb
Hat1,Prolif Myofb
Tpm1,Prolif Myofb
Ptma,Prolif Myofb
Ssr2,Prolif Myofb
Pgam1,Prolif Myofb
Clic1,Prolif Myofb
Loxl3,Prolif Myofb
Fkbp10,Prolif Myofb
Snrpf,Prolif Myofb
Prdx1,Prolif Myofb
